CAS,Chemical,colleague_pattern,colleague_LLNA,ours_pattern,ours_LLNA_call,ours_LLNA_EC3,KE1_metric
100-06-1,4'-Methoxyacetophenone,011,1,011,0.0,50.0,1.1
100-39-0,alpha-Bromotoluene,111,1,111,,0.2,62.05
100-43-6,4-Vinylpyridine,111,1,111,1.0,1.6,
101-39-3,2-Methylcinnamic aldehyde,111,1,111,,4.5,
104-27-8,1-(4-Methoxyphenyl)-1-pentene-3-one,111,1,111,,9.3,
104-54-1,3-Phenyl-2-propen-1-ol,111,1,111,1.0,21.0,7.6
104-55-2,3-Phenylprop-2-enal,111,1,111,,1.3,58.7
106-22-9,Citronellol,101,1,101,,43.5,
106-24-1,Geraniol,011,1,011,,18.7,2.65
106-50-3,"1,4-Benzenediamine",111,1,111,1.0,0.14,58.25
106-51-4,"1,4-Benzoquinone",111,1,111,,0.0099,93.225
107-22-2,Glyoxal,111,1,111,,1.4,54.575
107-75-5,Hydroxycitronellal,111,1,111,,22.0,21.0
108-31-6,"2,5-Furandione",111,1,111,1.0,0.16,71.75
108-90-7,Chlorobenzene,000,0,001,0.0,,0.425
109-55-7,3-(Dimethylamino)propylamine,011,1,011,,2.25,4.55
110-41-8,2-Methylundecanal,111,1,111,,10.0,
111-12-6,Methyl 2-octynoate,111,1,111,,0.5,
111-30-8,Glutaraldehyde,111,1,111,,0.09,56.4
111-40-0,Diethylenetriamine,000,1,000,,3.3,
111-80-8,Methyl 2-nonynoate,111,1,111,,2.5,51.3
1118-71-4,Dipivaloylmethane,000,1,000,,27.0,
112-05-0,Nonanoic acid,001,1,001,0.0,60.0,0.1
112-45-8,10-Undecen-1-al,010,1,010,,6.8,
1154-59-2,"3,5-Dichlorosalicyl-3,4-dichloroanilide",111,1,111,,0.04,22.9
116-26-7,Safranal,111,1,111,,7.5,
1166-52-5,Lauryl gallate,111,1,111,,0.3,49.8
120-51-4,Benzyl benzoate,010,1,010,,17.0,1.6
122-57-6,Methyl styryl ketone,111,1,111,,3.7,46.0
122-78-1,Phenylacetaldehyde,111,1,111,1.0,3.85,32.325
123-31-9,Hydroquinone,111,1,111,,0.19,72.1
127-51-5,Isomethyl-alpha-ionone,001,1,001,,21.8,
127-65-1,Chloramine-T,111,1,111,1.0,0.4,
137-26-8,Bis(dimethylaminothiocarbonyl) disulfide,111,1,111,,2.665,52.1
13706-86-0,"5-Methyl-2,3-hexanedione",111,1,111,,25.8,16.65
138-89-6,"N,N-Dimethyl-4-nitrosoaniline",111,1,111,1.0,0.48,
141-05-9,Diethyl maleate,111,1,111,,3.9,89.3
141-32-2,Butyl acrylate,111,1,111,1.0,20.0,92.55
149-30-4,2-Mercaptobenzothiazole,111,1,111,1.0,1.7,50.974999999999994
15646-46-5,Oxazolone,111,1,111,,0.002,58.15
1565-94-2,Bisphenol A glycidyl methacrylate,110,1,110,,45.3,
1675-54-3,Bisphenol A diglycidyl ether,111,1,111,,1.5,30.4
1897-45-6,Chlorothalonil,111,1,111,,0.004,
20048-27-5,Bandrowski's base,111,1,111,,0.04,45.85
2111-75-3,Perillaldehyde,111,1,111,,8.1,22.85
2277-19-2,(Z)-Non-6-enal,011,1,011,,23.0,
2345-34-8,4-Acetoxy benzoic acid,100,1,100,1.0,30.0,
2508-19-2,Trinitrobenzenesulfonic acid,111,1,111,1.0,0.3,61.15
25646-71-3,"Methanesulfonamide, N-[2-[(4-amino-3-methylphenyl)ethylamino]ethyl]-, sulfate (2:3)",111,1,111,,0.6,51.85
2634-33-5,"1,2-Benzisothiazolin-3-one",111,1,111,,4.8,51.85
2682-20-4,2-Methyl-3(2H)-isothiazolone,111,1,111,1.0,1.9,48.575
2835-95-2,5-Amino-2-methylphenol,111,1,111,1.0,3.8,
2835-99-6,4-Amino-m-cresol,111,1,111,,1.5,
2892-51-5,Squaric acid,100,1,100,1.0,5.699999999999999,
31906-04-4,4-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,111,1,111,,17.0,14.549999999999999
35691-65-7,"1,2-Dibromo-2,4-dicyanobutane",111,1,111,,0.9,52.15
3810-74-0,Streptomycin sulfate (2:3),000,1,000,,33.3,1.125
3913-71-1,2-Decenal,111,1,111,,2.5,
39236-46-9,Imidazolidinyl urea,111,1,111,1.0,24.0,32.425
431-03-8,"2,3-Butanedione",111,1,111,,11.0,53.0
4602-84-0,Farnesol,011,1,011,1.0,4.1,
488-17-5,"3-Methyl-1,2-benzenediol",111,1,111,1.0,0.02,
492-94-4,alpha-Furil,110,0,110,0.0,,
50-00-0,Formaldehyde,111,1,111,1.0,0.845,24.225
50-21-5,Lactic acid,000,1,000,0.0,25.0,0.65
5231-87-8,Squaric acid diethyl ester,000,1,000,1.0,0.9,
5307-14-2,"2-Nitro-1,4-phenylenediamine",111,1,111,,0.4,48.35
533-75-5,Tropolone,111,1,111,1.0,4.35,
5392-40-5,"3,7-Dimethyl-2,6-octadienal",111,1,111,1.0,6.449999999999999,43.6
55-55-0,"Phenol, p-(methylamino)-, sulfate (2:1) (salt)",111,1,111,,0.8,
55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,111,1,111,1.0,0.9,
57-97-6,"7,12-Dimethylbenz[a]anthracene",010,1,010,,0.006,
579-07-7,"1-Phenyl-1,2-propanedione",111,1,111,,1.3,
591-27-5,3-Aminophenol,001,1,001,1.0,1.8,2.5
5910-85-0,"2,4-Heptadienal",111,1,111,,4.0,60.6
5989-27-5,D-Limonene,101,1,101,,69.0,
600-22-6,Methylpyruvate,000,1,000,,2.4,
61-33-6,Penicillin G,101,1,101,,19.8,7.15
613-29-6,"N,N-Dibutylaniline",000,1,000,,19.6,
615-50-9,"2,5-Diaminotoluene sulfate",111,1,111,,0.4,46.7
62-53-3,Aniline,001,1,011,,33.3,0.7
6259-76-3,Hexyl salicylate,001,1,001,,0.2,
63-74-1,Sulfanilamide,000,0,000,0.0,,0.2
64-67-5,Ethyl sulfate (Et2SO4),111,1,111,,3.3,
6485-40-1,R-(-)-Carvone,111,1,111,,12.9,
67-63-0,Isopropanol,000,0,000,0.0,,0.85
6728-26-3,(2E)-2-Hexenal,111,1,111,,5.5,53.525
68-12-2,"N,N-Dimethylformamide",000,1,000,0.0,100.0,
71-36-3,1-Butanol,000,1,001,0.0,20.0,0.45
7646-79-9,Cobalt chloride,111,1,111,1.0,0.6,
78-70-6,Linalool,001,1,001,1.0,42.5,2.6500000000000004
80-62-6,Methyl methacrylate,111,1,111,1.0,90.0,26.75
818-61-1,2-Hydroxyethyl acrylate,111,1,111,,1.4,93.875
85-42-7,Hexahydrophthalic anhydride,101,1,101,1.0,0.84,
87-86-5,Pentachlorophenol,101,1,101,,20.0,7.25
885-62-1,"Benzenesulfonic acid, 2,4-dinitro-, sodium salt",111,1,111,1.0,2.0,
90-15-3,1-Naphthol,111,1,111,,1.3,30.15
91-64-5,Coumarin,010,1,011,,32.45,0.5
93-53-8,Hydratropaldehyde,111,1,111,,6.3,25.275000000000002
93-99-2,Phenyl benzoate,101,1,101,1.0,15.350000000000001,25.275
94-13-3,Propylparaben,011,1,011,0.0,50.0,0.17
95-55-6,2-Aminophenol,111,1,111,,0.45,57.15
96-33-3,Methyl acrylate,111,1,111,1.0,19.8,
97-00-7,"1-Chloro-2,4-dinitrobenzene",111,1,111,1.0,0.058499999999999996,60.0
97-90-5,Ethylene glycol dimethacrylate,111,1,111,1.0,28.0,56.775000000000006
